lev_id,E_calc,J,P,lev_name
187,20.42063,11/2,1,id 187 E_c 20420.63 4f(3)4I1.5d(2)3P2_6I 11/2
188,20.44981,5/2,0,id 188 E_c 20449.81 4f(4)5S0.5d_6D 5/2
189,20.49807,13/2,1,id 189 E_c 20498.07 4f(3)4I1.5d_3L.6s_4L 13/2
190,20.49952,7/2,0,id 190 E_c 20499.52 4f(4)5F1.5d_6G 7/2
191,20.57509,11/2,0,id 191 E_c 20575.09 4f(4)5F1.5d_6H 11/2
192,20.58876,11/2,1,id 192 E_c 20588.76 4f(3)4I1.5d_5I.6s_4I 11/2
193,20.62617,15/2,0,id 193 E_c 20626.17 4f(4)3K2.5d_4M 15/2
194,20.71032,7/2,0,id 194 E_c 20710.32 4f(4)5S0.5d_6D 7/2
195,20.71243,5/2,1,id 195 E_c 20712.43 4f(3)4I1.5d_5G.6s_4G 5/2
196,20.72157,19/2,1,id 196 E_c 20721.57 4f(3)4I1.5d(2)3F2_4M 19/2
197,20.77093,13/2,1,id 197 E_c 20770.93 4f(3)4I1.5d_3I.6s_2I 13/2
198,20.8379,9/2,1,id 198 E_c 20837.9 4f(3)4I1.5d_3H.6s_4H 9/2
199,20.91897,9/2,0,id 199 E_c 20918.97 4f(4)5G1.6s_6G 9/2
200,21.05986,7/2,1,id 200 E_c 21059.86 4f(3)4I1.5d(2)3P2_6H 7/2
201,21.06238,17/2,1,id 201 E_c 21062.38 4f(3)4I1.5d(2)3F2_4K 17/2
202,21.11864,7/2,1,id 202 E_c 21118.64 4f(3)4I1.5d(2)3F2_4G 7/2
203,21.14107,9/2,0,id 203 E_c 21141.07 4f(4)5F1.5d_6G 9/2
204,21.16948,15/2,1,id 204 E_c 21169.48 4f(3)4I1.5d_3L.6s_4L 15/2
205,21.27069,9/2,0,id 205 E_c 21270.69 4f(4)5S0.5d_6D 9/2
206,21.36187,13/2,0,id 206 E_c 21361.87 4f(4)5F1.5d_6H 13/2
207,21.36715,9/2,1,id 207 E_c 21367.15 4f(3)4I1.5d_5H.6s_4H 9/2
208,21.43447,15/2,1,id 208 E_c 21434.47 4f(3)4I1.5d_5H.6s_6H 15/2
209,21.44029,5/2,1,id 209 E_c 21440.29 4f(3)4I1.5d_3G.6s_4G 5/2
210,21.45271,9/2,1,id 210 E_c 21452.71 4f(4)5I1.6p_4I 9/2
211,21.46564,5/2,1,id 211 E_c 21465.64 4f(4)5I1.6p_6H 5/2
212,21.50714,13/2,1,id 212 E_c 21507.14 4f(3)4I1.5d(2)3F2_2K 13/2
213,21.6248,9/2,1,id 213 E_c 21624.8 4f(3)4I1.5d(2)3F2_4G 9/2
214,21.62922,17/2,0,id 214 E_c 21629.22 4f(4)3K2.5d_4M 17/2
215,21.65801,1/2,0,id 215 E_c 21658.01 4f(4)5F1.5d_6F 1/2
216,21.79585,17/2,1,id 216 E_c 21795.85 4f(3)4I1.5d(2)3P2_6K 17/2
217,21.85261,13/2,1,id 217 E_c 21852.61 4f(3)4I1.5d(2)3P2_6I 13/2
218,21.86816,7/2,1,id 218 E_c 21868.16 4f(3)4I1.5d(2)1D2_4G 7/2
219,21.87595,13/2,0,id 219 E_c 21875.95 4f(4)3H4.6s_4H 13/2
220,21.88832,3/2,0,id 220 E_c 21888.32 4f(4)5F1.5d_6F 3/2
221,21.92456,13/2,1,id 221 E_c 21924.56 4f(3)4I1.5d_5G.6s_6G 13/2
222,22.02608,11/2,1,id 222 E_c 22026.08 4f(4)5I1.6p_6I 11/2
223,22.07027,17/2,1,id 223 E_c 22070.27 4f(3)4I1.5d(2)1G2_4N 17/2
224,22.07275,11/2,1,id 224 E_c 22072.75 4f(3)4I1.5d(2)1D2_4I 11/2
225,22.13138,11/2,0,id 225 E_c 22131.38 4f(4)5G1.6s_6G 11/2
226,22.15045,1/2,0,id 226 E_c 22150.45 4f(4)5F1.5d_4D 1/2
227,22.2324,5/2,0,id 227 E_c 22232.4 4f(4)5F1.5d_6F 5/2
228,22.27999,15/2,0,id 228 E_c 22279.99 4f(4)5F1.5d_6H 15/2
229,22.33646,15/2,1,id 229 E_c 22336.46 4f(3)4I1.5d_3K.6s_4K 15/2
230,22.39055,19/2,1,id 230 E_c 22390.55 4f(3)4I1.5d(2)1D2_4L 19/2
231,22.39123,7/2,1,id 231 E_c 22391.23 4f(3)4I1.5d(2)3F2_4F 7/2
