wn_calc,gA_calc,upper_lev_id,lower_lev_id
131.3367,198900,771,7
131.3239,4190000,810,12
131.2975,1817000,769,7
131.28,78320000,846,35
131.2791,1158000,804,11
131.2497,7534000,766,6
131.2199,7696000,740,2
131.1939,1.323e+08,841,28
131.1863,50560000,831,20
131.115,2269000,764,6
131.0845,39550000,830,20
131.0824,91730000,799,9
131.0428,150700,832,21
131.007,1199000,766,7
131.0026,52050000,850,36
130.985,841000,738,0
130.958,5898000,802,10
130.9422,93640000,845,35
130.9397,2052000,801,10
130.9346,5457000,737,0
130.8723,310800,764,7
130.8636,9665000,808,12
130.8234,323300,762,5
130.8109,4393000,831,21
130.7795,10600000,835,22
130.7501,186100,808,13
130.7383,26780000,851,37
130.728,1.058e+08,837,27
130.7091,3220000,830,21
130.6854,188400,796,9
130.6081,169500,801,11
130.6019,5452000,849,37
130.5961,9224000,829,21
130.5943,36800000,844,35
130.5495,60940000,828,21
130.5327,20100000,807,12
130.5218,48380000,835,23
130.5046,4662000,827,21
130.5013,33250000,800,10
130.4893,26560000,799,10
130.454,159900,762,6
130.4034,59160000,836,27
130.3657,297600,761,6
130.3192,69500000,797,10
130.3114,101100,736,0
130.2982,4453000,843,35
130.2816,427700,735,0
130.2444,847900,760,6
130.2269,357800,807,14
130.1875,456600,866,43
130.1697,1702000,800,11
130.1577,1120000,799,11
130.1425,94150000,754,3
130.1235,5364000,848,37
130.123,748700,761,7
130.0613,169200,753,3
130.0546,21600000,866,44
130.0497,959900,739,1
130.0479,2224000,847,37
130.0466,470700,752,3
130.0406,4805000,738,1
130.0027,1773000,751,3
130.0017,506300,760,7
129.9923,1.014e+08,733,0
129.9902,1238000,737,1
129.9876,783300,797,11
129.9401,4.685e+09,839,29
129.9176,88420000,836,28
129.8987,154400,840,30
129.8714,215400,732,0
129.8501,27540000,834,22
129.8336,5462000,833,22
129.7138,3.708e+09,842,31
129.7081,118800,869,46
129.6358,22400000,841,32
129.6124,180200,803,12
129.6123,1.243e+08,839,31
129.6058,117500,731,0
129.6004,223400,846,37
129.5899,4630000,756,4
129.5541,4067000,835,26
129.5416,2399000,795,9
129.4271,152700,753,4
129.4165,528300,819,15
129.4138,75250000,838,30
129.4124,155000,752,4
129.4005,4243000,739,2
129.3914,702300,738,2
129.3874,136300,730,0
129.3759,4904000,833,24
129.3685,77980000,751,4
129.367,1051000,736,1
129.3627,5787000,841,33
129.3372,64210000,735,1
129.3194,1.259e+08,842,34
129.2955,152500,840,33
129.2626,10170000,845,37
129.2373,3.023e+09,840,34
129.2179,1750000,839,34
129.2177,5721000,748,4
129.1914,11380000,868,46
129.1818,5.632e+08,793,8
129.1692,3970000,726,0
129.1548,535400,835,27
129.1484,127300,820,16
129.1365,3517000,725,0
129.1129,96180000,821,18
129.1063,6.176e+08,831,22
129.0979,10110000,792,8
129.0587,173100,744,4
129.0512,1462000,791,8
129.0508,445100,743,4
129.0142,17840000,837,30
129.0045,9.449e+08,830,22
128.979,1464000,862,38
128.9771,2232000,801,12
128.9485,786500,795,10
128.927,300700,732,1
128.9258,5409000,753,5
128.9147,6939000,844,37
128.8915,2.021e+08,829,22
128.8819,945900,802,13
128.8449,9108000,828,22
128.8106,35500000,838,33
128.8,1.69e+08,827,22
128.7924,455100,861,38
128.7524,4027000,838,34
128.7298,1.5e+08,834,25
128.7178,36410000,736,2
128.7168,426600,749,5
128.7164,57190000,748,5
128.6965,738800,747,5
128.6841,1067000,837,32
128.6729,2521000,826,22
128.6618,4725000,861,39
128.6614,7661000,731,1
128.6568,2565000,794,10
128.6424,355300,746,5
128.6338,6.367e+08,829,23
128.6247,1690000,834,26
128.6082,765200,833,26
128.6073,104500,816,15
128.5957,62940000,825,22
128.5872,1.219e+08,828,23
128.5695,808900,734,2
128.5677,29800000,721,0
128.5574,1718000,744,5
128.5495,7600000,743,5
128.5423,7871000,827,23
128.5361,1520000,815,15
128.5267,761100,799,12
128.443,12150000,730,1
128.425,466200,741,5
128.4152,2.017e+08,826,23
128.4132,288000,799,13
128.411,21410000,837,33
128.3638,69350000,823,22
128.3595,23880000,836,32
128.3566,321100,797,12
128.3549,124800,787,8
128.3474,6884000,749,6
128.338,74820000,825,23
128.3351,208800,798,13
128.329,389900,816,16
128.3276,42610000,793,9
128.3271,823300,747,6
128.3252,312000,794,11
128.3015,11040000,824,23
128.2778,27690000,732,2
128.275,1178000,786,8
128.273,1183000,746,6
128.2598,483800,728,1
128.244,17320000,727,1
128.2431,347800,797,13
128.2329,393400,800,14
128.2248,412800,726,1
128.2152,3.279e+08,826,24
128.2089,3349000,833,27
128.2039,1128000,865,45
128.197,455000,791,9
128.1951,1092000,745,6
128.1801,37560000,743,6
128.138,27590000,825,24
128.1247,335800,750,7
128.123,8077000,790,9
128.0864,13330000,836,33
128.0556,6235000,741,6
128.0273,4.084e+08,789,9
127.986,4328000,831,25
127.9747,67920000,841,35
127.9524,4401000,745,7
127.9324,710800,820,18
127.925,410400,783,8
127.9222,598100,819,18
127.9193,915400,782,8
127.911,114800,742,7
127.8842,11190000,830,25
127.884,238200,740,6
127.8809,75980000,831,26
127.8129,27520000,741,7
127.7846,1430000,780,8
127.7791,1.236e+08,830,26
127.7769,12330000,724,1
127.7357,19340000,729,2
127.7345,891100,793,10
127.7231,124500,833,28
127.6661,9533000,829,26
127.6659,40040000,860,39
127.6557,2184000,778,8
127.6233,1905000,721,1
127.6195,5080000,828,26
127.6039,2056000,791,10
127.5948,2129000,727,2
127.5801,6497000,859,38
127.5746,10140000,827,26
127.51,567500,737,3
127.4665,4.403e+08,860,40
127.4643,6047000,715,0
127.4495,16510000,859,39
127.4475,2280000,826,26
127.441,855300,835,30
127.4342,44850000,789,10
127.4099,1533000,858,39
127.4043,23420000,857,38
127.4029,3917000,793,11
127.3703,3433000,825,26
127.3025,2.715e+08,788,10
127.2737,2.637e+08,857,39
127.2723,6373000,791,11
127.2686,545800,784,9
127.2668,56850000,829,27
127.2501,11100000,859,40
127.2435,33180000,823,25
127.2202,20720000,828,27
127.2105,12030000,858,40
127.1753,12840000,827,27
127.1699,2.041e+08,856,38
127.1384,33820000,823,26
127.1277,1336000,724,2
127.1109,66290000,835,32
127.1026,658100,789,11
127.0743,83690000,857,40
127.0696,1977000,723,2
127.0556,174800,781,9
127.0482,19610000,826,27
127.0418,514300,815,18
127.0393,69380000,856,39
127.023,1.008e+08,837,35
126.9709,4732000,788,11
126.971,35140000,825,27
126.9374,1597000,713,0
126.9345,25610000,824,27
126.9262,2427000,738,4
126.9225,127000,810,15
126.9155,837500,773,8
126.8758,10770000,737,4
126.857,881400,735,3
126.8433,7273000,712,0
126.8378,9996000,835,33
126.8277,20750000,786,10
126.8015,112300,778,9
126.7968,4643000,718,1
126.7887,3.6e+09,866,46
126.7828,44890000,711,0
126.7624,2616000,821,19
126.7477,51920000,772,8
126.6984,1687000,836,35
126.6942,757200,794,12
126.6364,10370000,770,8
126.6321,8359000,710,0
126.5951,1236000,776,9
126.5834,1.716e+08,842,36
126.5831,49190000,822,22
126.5807,122600,794,13
126.5624,1.045e+08,826,28
126.5143,8537000,708,0
126.5116,2113000,834,30
126.4961,70960000,786,11
126.4852,2308000,825,28
126.4819,3078000,839,36
126.4625,161200,781,10
126.4591,1187000,814,18
126.434,1462000,739,5
126.4249,5880000,738,5
126.4103,22800000,768,8
126.4032,4010000,821,20
126.3884,263500,794,14
126.3745,4991000,737,5
126.3439,480400,784,11
126.3388,4149000,719,2
126.3254,1.575e+08,822,23
126.3177,335800,779,10
126.2951,7361000,841,37
126.2526,850200,736,4
126.2279,4029000,840,37
126.2228,707600,735,4
126.1823,1128000,707,0
126.1812,10350000,731,3
