L1,L2,wn,wn_unc,I_obs,snr
304,66,43.2575436,7.5e-05,63.59919523,7
32,367,43.2719117,1.108536585e-05,433.8016484,41
4,299,43.3168533,8.385e-06,37518.33852,2970
16,319,43.318839,9.675e-06,3614.053844,157
37,380,43.3235008,7.23e-06,1673.354696,150
19,336,43.3329522,1.1145e-05,3876.102242,145
299,60,43.3516351,0.001,1812.723419,450
310,88,43.3570692,9.256097561e-06,282.1922671,41
306,74,43.3621422,1.010526316e-05,268.4296366,38
24,348,43.4129059,1.173076923e-05,429.4852598,39
300,63,43.4301675,0.001,1215.105175,178
6,305,43.438377,6.87e-06,2236.316877,203
22,347,43.4495992,6.645e-06,12488.77067,771
311,91,43.4542647,1.861111111e-05,252.7975697,27
28,357,43.45575,6.159090909e-06,647.1555211,66
15,316,43.4692365,1.122e-05,7062.717946,267
15,317,43.4888122,1.934210526e-05,1529.331127,57
302,68,43.5102389,6.675e-05,123.0503006,10
304,72,43.5163957,3.81e-06,494.0254911,107
301,65,43.5194275,9.514285714e-06,215.4200268,35
19,339,43.5295174,5.779411765e-05,465.2557444,17
305,73,43.5405416,1.62e-05,245.326302,35
301,67,43.5453819,4.62e-06,891.2154588,172
23,348,43.5569935,2.072222222e-05,373.3766782,27
305,78,43.5699094,4.89375e-05,56.97443423,8
302,69,43.5759953,3.985714286e-05,37.81143388,7
5,304,43.5901493,4.125e-06,2422.573069,360
301,66,43.6009524,0.001,198.8578249,23
21,343,43.6032222,2.511290323e-05,603.403876,31
15,318,43.6167386,1.143e-05,33610.20845,1184
299,62,43.6296896,3.135e-06,4687.174868,1391
305,77,43.6564642,2.21e-05,377.1291662,30
23,349,43.6719879,1.4375e-05,456.0430832,36
299,64,43.7035854,6.612244898e-06,213.2765716,49
298,61,43.7141532,9e-06,233.3616458,37
3,297,43.7279973,1.3755e-05,49641.63188,2616
33,372,43.734574,0.001,729.665685,67
304,74,43.7672638,7.892857143e-06,268.4296366,42
4,301,43.778499,8.445e-06,1924.815913,140
304,78,43.8074213,3.018e-05,365.9833444,25
5,305,43.8276388,1.482692308e-05,162.811198,26
311,92,43.8293687,5.085e-06,946.3250831,177
301,70,43.8389472,3.285e-06,3724.118139,1043
301,72,43.8598438,2.109375e-05,102.7804153,16
22,349,43.8649421,8.462686567e-06,946.3250831,67
300,66,43.871131,8.918918919e-06,231.0396686,37
300,69,43.8873998,6.355263158e-06,131.9723816,38
297,62,43.8969924,0.001,119.4136442,16
304,76,43.9696983,3.315e-06,2871.487426,753
299,65,43.9810687,2.09e-05,91.15816393,15
310,91,43.986842,2.33e-05,247.7918622,15
298,64,44.0103218,2.142857143e-05,81.66269913,14
305,79,44.0175533,3.975e-06,1469.365235,313
308,88,44.0411008,3.495e-06,1484.132591,353
302,75,44.0833043,1.009090909e-05,215.4200268,33
17,321,44.1014352,7.2e-06,3079.693684,175
4,304,44.1219577,5.503846154e-05,187.277305,13
300,72,44.129977,1.386206897e-05,231.0396686,29
305,84,44.1315331,3.885e-06,751.8872829,169
294,58,44.1437574,7.766666667e-06,311.8705817,45
302,77,44.1961266,7.413461538e-06,265.758727,52
25,358,44.2089932,1.552173913e-05,215.4200268,23
304,79,44.2550733,4.51875e-05,59.29956419,8
32,372,44.2613065,3.35625e-05,56.97443423,8
299,71,44.2776075,2.925e-06,562.6101125,159
299,70,44.3006115,0.001,131.9723816,19
295,61,44.3006115,0.001,131.9723816,19
301,76,44.3131507,1.117741935e-05,305.6951502,31
298,67,44.3137766,0.001,1227.317175,357
27,359,44.3195007,5e-06,673.5663981,72
18,323,44.3329555,3.767045455e-06,774.7856293,88
30,372,44.3620599,1.11e-05,3403.587791,124
298,66,44.3693333,0.001,384.7476605,89
298,69,44.3856662,3.015e-06,736.998937,198
307,88,44.3904993,1.857692308e-05,257.9043992,26
300,73,44.3916226,7.172727273e-06,305.6951502,55
300,75,44.3946588,0.001,909.2191851,105
28,363,44.4045876,7.5e-06,238.0758436,35
303,83,44.4076062,6.222972973e-06,442.5650028,74
16,321,44.408649,1.117857143e-05,2023.503284,84
300,78,44.4209736,0.001,1673.354696,232
33,375,44.4232444,1.471153846e-05,211.1544442,26
26,357,44.4306964,0.0001404,176.371182,5
294,61,44.4324307,3.09e-06,1014.941321,279
302,82,44.4685841,3.03e-06,562.6101125,159
293,58,44.4925488,4.69047619e-06,276.6045056,63
295,63,44.5148866,6.089552239e-06,355.1669315,67
4,306,44.5270615,7.305e-06,12741.06055,815
18,325,44.5364523,8.8875e-05,68.89610242,4
33,376,44.5422675,3.368181818e-05,97.7678041,11
297,71,44.5449894,5.37e-05,29.44779551,5
301,80,44.551698,0.001,235.7069593,37
302,83,44.5544118,9.51e-06,324.5982208,50
298,72,44.6282298,4.211538462e-06,341.2406761,78
303,85,44.6442284,6.685714286e-05,64.23836771,7
309,92,44.7073759,0.001,451.5053887,35
294,64,44.7285949,3.18e-06,1707.158683,442
304,86,44.7385024,3.6e-05,50.02911228,8
300,82,44.7799689,0.001,114.7314074,7
293,61,44.7812173,0.001,1056.361822,256
5,307,44.7875113,3.39e-06,2023.503284,259
21,346,44.7948323,8.625e-05,75.38424934,4
295,68,44.906289,5.027472527e-06,514.187013,91
298,78,44.9192604,3.615e-06,603.403876,132
27,363,44.948395,9.6328125e-06,1066.978424,64
295,66,44.9557949,0.001,224.211444,32
295,69,44.9720705,3.93e-06,551.4697056,105
22,352,44.9855171,4.579411765e-05,358.7364085,17
293,63,44.9955432,3.87e-06,1944.160624,232
294,65,45.0060958,2.82e-06,640.716226,162
307,91,45.0202812,1.386363636e-05,324.5982208,33
1,293,45.0217428,5.125e-05,40.14950053,6
17,324,45.028692,7.905e-06,13802.22604,723
33,377,45.0324595,5.817073171e-06,2106.083979,82
23,357,45.0497007,1.411764706e-05,465.2557444,34
32,376,45.0689808,0.001,213.2765716,13
293,64,45.077392,0.001,666.8643104,166
292,58,45.0858692,0.001,2214.065162,459
6,309,45.0862671,0.001,634.341003,20
294,66,45.0876579,3.475e-05,27.45701015,6
291,56,45.1050624,3.21e-06,3205.378326,759
5,308,45.1368925,4.11e-06,1724.315903,185
30,376,45.1697676,4.45e-05,660.2289096,24
306,88,45.1827393,1.327272727e-05,318.1707651,33
3,306,45.2055574,2.332075472e-05,1591.744273,53
295,72,45.2146218,2.675e-05,213.2765716,12
17,330,45.2773456,6.75e-06,5555.730925,289
305,87,45.2899526,5.121428571e-05,57.54702676,7
25,362,45.31031,2.5125e-05,1425.938959,32
16,322,45.3129025,9.495e-06,21430.81545,803
292,60,45.3187084,3.12e-06,847.7504167,204
4,307,45.3193223,2.095588235e-05,597.399917,34
17,327,45.3265457,7.035e-06,8371.47366,214
16,324,45.3359001,1.239473684e-05,2023.503284,76
294,72,45.3465297,3.6e-05,40.14950053,7
23,359,45.3696385,3.835714286e-05,252.7975697,14
292,61,45.3745304,4.15e-05,33.53584653,6
0,292,45.378738,3.975e-05,80.04568914,6
26,363,45.379511,1.184117647e-05,2398.468074,85
293,67,45.3808376,3.675e-06,351.6329715,80
18,331,45.3863285,4.7e-05,98.75037681,6
6,310,45.4316601,6.786885246e-06,603.403876,61
293,66,45.4364543,5.7890625e-06,293.7087111,64
293,69,45.4527246,1.361538462e-05,217.585024,26
27,365,45.4573187,5.73e-05,82.48341285,5
5,309,45.4755734,2.175e-05,185.4138746,18
295,73,45.4762891,1.494444444e-05,255.3382175,27
295,75,45.4793743,2.685714286e-05,279.384417,21
291,60,45.4997574,2.75e-05,94.87835836,12
295,78,45.5056955,4.605e-05,106.9749228,10
17,332,45.5265102,2.768181818e-05,400.4494696,22
27,367,45.5395471,7.59e-05,106.9749228,5
16,329,45.5555884,0.00012275,240.4685355,6
22,359,45.5626166,8.625e-05,189.1594631,6
15,322,45.5728222,1.1205e-05,22305.42358,678
15,324,45.5958239,1.1295e-05,9438.810067,281
18,334,45.6280468,3.21e-06,1983.435254,209
16,327,45.6337609,8.895e-06,19198.45613,365
294,78,45.6375267,3.230769231e-05,129.3591732,13
4,308,45.6686925,4.915384615e-05,228.7407954,13
292,64,45.6706713,4.264285714e-05,51.55269512,7
7,311,45.7096105,6.859090909e-05,231.0396686,11
15,329,45.8154808,1.398e-05,2546.780995,75
5,310,45.8209205,4.172727273e-05,124.2869666,11
15,330,45.8444885,2.443902439e-05,1356.395144,41
291,64,45.8517089,6.841463415e-06,221.9805128,41
24,363,45.8544313,4.814516129e-06,573.9755705,62
293,74,45.9461668,1.058333333e-05,344.6701919,36
292,65,45.9481786,6.925531915e-06,384.7476605,47
295,83,45.9505178,0.0001086,72.42842985,5
295,79,45.9533222,7.4e-05,69.58850971,6
18,336,45.9837516,3.81e-06,4115.786957,329
23,363,45.9985346,5.571428571e-06,514.187013,56
4,309,46.0074126,7.3e-05,85.84958397,6
