lid1,lid2,E1,E2,J1,J2,snr,wn_ritz,wn_obs,wn_obs_unc,obs-ritz,I_calc,I_obs,gA,L1,L2
1,325,513.3304,30805.5183,4.5,3.5,18,30292.1879,30292.2006,0.0106,0.0127,7.6e+03,2.0e+03,1.9e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 325 30.8081 4f3 4F* 3.5
1,282,513.3304,29521.7213,4.5,4.5,35,29008.3909,29008.3784,0.0057,-0.0125,5.7e+03,3.1e+03,1.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 282 29.5359 4f3.(4G*).5d.(2D).(5I*).6s 4I* 4.5
1,322,513.3304,30681.2443,4.5,3.5,14,30167.9139,30167.9158,0.0112,0.0019,5.6e+03,9.7e+02,1.4e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 322 30.6912 4f3 4F* 3.5
1,377,513.3304,32192.0166,4.5,4.5,35,31678.6862,31678.6810,0.0057,-0.0052,4.4e+03,4.0e+03,1.6e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 377 32.2331 4f3.(4G*).5d.(2D).(5H*).6s 6H* 4.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2,164,1470.1034,25524.4578,5.5,6.5,2991,24054.3544,24054.3587,0.0020,0.0043,6.6e+05,6.6e+05,6.1e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 164 25.5432 4f4.(5I).6p 6K* 6.5
2,175,1470.1034,26210.7233,5.5,6.5,3649,24740.6199,24740.6197,0.0011,-0.0002,5.3e+05,6.5e+05,4.3e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 175 26.1218 4f4.(5I).6p 6K* 6.5
2,194,1470.1034,26761.0769,5.5,5.5,618,25290.9735,25290.9804,0.0010,0.0069,3.8e+05,1.1e+05,3.6e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 194 26.7295 4f4.(5I).6p 6I* 5.5
2,184,1470.1034,26327.9956,5.5,6.5,1871,24857.8923,24857.8919,0.0010,-0.0004,2.3e+05,3.0e+05,2.0e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 184 26.3715 4f3.(4F*).5d2.(3F) 6G* 6.5
2,217,1470.1034,27448.6902,5.5,6.5,1935,25978.5869,25978.5888,0.0013,0.0019,1.7e+05,2.0e+05,2.3e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 217 27.4654 4f4.(5I).6p 6I* 6.5
2,210,1470.1034,27308.9196,5.5,6.5,1676,25838.8163,25838.8175,0.0012,0.0012,1.7e+05,1.6e+05,2.1e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 210 27.2547 4f4.(5I).6p 4K* 6.5
2,193,1470.1034,26772.0583,5.5,5.5,2131,25301.9550,25301.9542,0.0010,-0.0008,1.6e+05,4.5e+05,1.8e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 193 26.7139 4f4.(5I).6p 6I* 5.5
2,138,1470.1034,24445.3676,5.5,5.5,1026,22975.2643,22975.2659,0.0010,0.0016,1.5e+05,1.4e+05,1.0e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 138 24.3884 4f4.(5I).6p 6K* 5.5
2,212,1470.1034,27233.5079,5.5,4.5,1228,25763.4045,25763.4069,0.0012,0.0023,1.3e+05,1.1e+05,1.8e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 212 27.2881 4f4.(5I).6p 6H* 4.5
2,209,1470.1034,27245.4209,5.5,5.5,1376,25775.3176,25775.3227,0.0013,0.0051,1.2e+05,1.5e+05,1.4e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 209 27.2157 4f3.(4G*).5d2.(3F) 6K* 5.5
2,160,1470.1034,25389.1903,5.5,4.5,1017,23919.0869,23919.0864,0.0009,-0.0005,1.2e+05,1.5e+05,9.5e+07,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 160 25.3764 4f3.(4F*).5d.(2D).(5G*).6s 6G* 4.5
2,135,1470.1034,24134.0607,5.5,5.5,1200,22663.9574,22663.9602,0.0010,0.0028,1.2e+05,1.8e+05,7.7e+07,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 135 24.1651 4f4.(5I).6p 6K* 5.5
2,218,1470.1034,27424.9824,5.5,4.5,3907,25954.8791,25954.8639,0.0012,-0.0151,1.1e+05,3.5e+05,1.2e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 218 27.4892 4f3.(4S*).5d.(2D).(5D*).6s 6D* 4.5
2,110,1470.1034,21918.0379,5.5,4.5,3316,20447.9345,20447.9411,0.0019,0.0065,9.3e+04,1.5e+05,2.3e+07,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 110 21.9677 4f3.(4I*).5d2.(3P) 4H* 4.5
