lev_id,E_calc,J,P,lev_name
367,49.737,5,1,49737.000  1.083 4f35d~2I1H  5.0
368,49.852,4,1,49852.001  1.138 4f35d~4D3F  4.0
369,49.883,2,1,49882.999  1.508 4f35d~4D5S  2.0
370,49.898,2,0,49897.999  1.130 4f4  _3D3D2 2.0
371,49.924,6,1,49924.000  1.118 4f35d~2I3H  6.0
372,49.971,1,0,49971.001  0.512 4f4  _3D3D2 1.0
373,50.018,1,1,50018.002  2.363 4f35d~4D5P  1.0
374,50.187,6,1,50187.000  1.325 4f35d~4D5G  6.0
375,50.26,6,1,50259.998  0.862 4f36s~2K3K  6.0
376,50.295,4,1,50294.998  1.045 4f36s~4G3G  4.0
377,50.321,8,1,50320.999  1.043 4f35d~2I3L  8.0
378,50.394,7,1,50394.001  1.007 4f36s~2K3K  7.0
379,50.443,9,1,50443.001  1.107 4f35d~2L3L  9.0
380,50.484,9,1,50484.001  0.907 4f35d~2L3N  9.0
381,50.539,2,1,50539.001  0.817 4f35d~2D3F2 2.0
382,50.578,5,1,50577.999  1.054 4f35d~2I3H  5.0
383,50.659,7,1,50659.000  0.991 4f35d~2L3K  7.0
384,50.725,3,1,50724.998  1.460 4f35d~4D5P  3.0
385,50.931,2,1,50931.000  1.723 4f35d~4D5P  2.0
386,50.989,4,1,50988.998  1.015 4f35d~2I3G  4.0
387,51.19,3,1,51189.999  0.793 4f35d~2I3G  3.0
388,51.305,1,1,51305.000  0.790 4f35d~2D3D2 1.0
389,51.497,3,1,51497.002  1.050 4f35d~2D3F2 3.0
390,51.511,2,1,51511.002  1.328 4f36s~2P3P  2.0
391,51.532,4,1,51532.001  0.911 4f35d~2H3H1 4.0
392,51.558,6,1,51557.999  1.317 4f36s~4G5G  6.0
393,51.688,5,1,51688.000  1.208 4f36s~2G3G1 5.0
394,51.723,1,1,51723.000  0.826 4f36s~2D3D1 1.0
395,51.755,8,1,51755.001  1.089 4f35d~2L3K  8.0
396,51.809,9,1,51808.998  1.108 4f35d~2I3L  9.0
397,51.81,7,1,51810.001  1.000 4f35d~2L1K  7.0
398,51.894,4,1,51894.001  0.957 4f35d~2H3H1 4.0
399,51.908,10,1,51908.001  1.011 4f35d~2L3N 10.0
400,51.938,5,1,51938.000  1.081 4f35d~2I1H  5.0
401,52.032,3,1,52032.001  0.915 4f35d~2D3G2 3.0
402,52.178,4,1,52178.001  1.033 4f36s~2G1G1 4.0
403,52.416,8,1,52416.000  1.121 4f36s~2K3K  8.0
404,52.618,5,1,52618.000  1.169 4f36s~4G3G  5.0
405,52.641,1,1,52640.999  1.302 4f35d~4D3P  1.0
406,52.65,6,1,52650.002  1.039 4f35d~2I1I  6.0
407,52.771,2,1,52771.000  1.481 4f35d~4D5S  2.0
408,52.793,5,1,52792.999  1.058 4f35d~2H3H1 5.0
409,52.859,7,1,52859.001  1.001 4f36s~2K1K  7.0
410,53.084,4,1,53084.000  1.120 4f35d~2D3F2 4.0
411,53.113,2,1,53112.999  1.329 4f35d~2D3D2 2.0
412,53.26,0,1,53259.998  0.000 4f36s~2P3P  0.0
