wn_obs,wn_obs_unc,I_obs,snr_obs
17.614927968,1.5688442015e-05,1851.8393205,7.2082666688
17.616630736,1.657835353e-05,2285.9203434,10.728
17.616931455,6.8471259814e-06,4020.8259831,15.528
17.61764901,1.0905631896e-05,2047.4401506,14.533855993
17.618687837,9.380379368e-06,1136.6258479,8.6096836881
17.619469444,1.1132445626e-05,2396.9624385,8.8946735312
17.620427195,1.1285842622e-05,1921.8434161,13.887470976
17.621166088,9.8941967639e-06,1034.1788917,8.0463447739
17.621482423,8.7043816406e-06,2607.9416503,17.841264393
17.621689217,1.0908661246e-05,277.45896832,8.1116895593
17.621934061,6.6660059695e-06,4267.2933013,15.878342733
17.622140949,8.573967364e-06,1125.6589337,11.012571212
17.623311204,1.6522600469e-05,4025.3204464,13.073950361
17.623919126,2.8633285794e-05,1260.581823,4.2453112249
17.625154525,9.5668057206e-06,1417.2482514,9.1594439806
17.626172191,9.4979219977e-06,6016.8896507,22.598829156
17.626889718,1.9608787815e-05,1632.5155737,5.956656928
17.628930224,1.2660509577e-05,1470.2579935,7.6935332304
17.629424824,1.0022378812e-05,916.54705413,7.6568222384
17.630147778,2.5614520782e-05,1337.7319544,4.6676692272
17.630759289,1.7394646857e-05,1278.704692,5.9411213834
17.631484489,1.1604650123e-05,3745.3358433,16.850042582
17.632537793,1.3509985588e-06,21150.518645,108.16615849
17.632829685,7.2399710903e-06,4797.7220814,15.287362875
17.63395995,5.1221325735e-06,11106.93946,41.920856077
17.634805405,1.6786987748e-05,727.2513398,5.0255296751
17.635359966,2.1593287502e-06,53203.188358,289.89999971
17.637144246,1.506778821e-05,1578.4753207,7.6359590528
17.637432714,1.8477183073e-05,1019.8283629,4.9628390743
17.637988533,1.8133719626e-05,589.94625755,4.415399767
17.639107685,1.7318457202e-05,487.68045113,4.4768172601
17.639779369,9.7601347442e-06,1199.1635529,8.5404010289
17.640618221,1.2421567112e-05,3577.3827783,16.224378526
17.641217676,1.2463946664e-05,2767.1123021,14.445770438
17.641482193,1.357950259e-05,2210.2774011,12.346190106
17.642356527,4.3379961776e-06,2309.6831126,17.67551259
17.642427647,4.2120429851e-06,3270.6276766,20.987391758
17.642515333,5.6156342388e-06,2919.2421032,16.203566293
