lev_id,E_calc,J,P,lev_name
210,27.2547,6.5,-1,id 210 27.2547 4f4.(5I).6p 4K* 6.5
211,27.2717,3.5,-1,id 211 27.2717 4f3.(4F*).5d2.(3F) 6D* 3.5
212,27.2881,4.5,-1,id 212 27.2881 4f4.(5I).6p 6H* 4.5
213,27.3592,3.5,-1,id 213 27.3592 4f3.(4G*).5d.(2D).(5I*).6s 6I* 3.5
214,27.3956,3.5,-1,id 214 27.3956 4f3.(2H2*).5d.(2D).(3H*).6s 4H* 3.5
215,27.41,5.5,-1,id 215 27.4100 4f3.(2H2*).5d2.(3F) 4I* 5.5
216,27.456,7.5,-1,id 216 27.4560 4f3.(4I*).5d2.(3P) 2K* 7.5
217,27.4654,6.5,-1,id 217 27.4654 4f4.(5I).6p 6I* 6.5
218,27.4892,4.5,-1,id 218 27.4892 4f3.(4S*).5d.(2D).(5D*).6s 6D* 4.5
219,27.5364,3.5,-1,id 219 27.5364 4f3.(4G*).5d2.(3F) 6I* 3.5
220,27.5879,4.5,-1,id 220 27.5879 4f3.(4F*).5d.(2D).(5F*).6s 4F* 4.5
221,27.5962,5.5,-1,id 221 27.5962 4f3.(2H2*).5d2.(3F) 4K* 5.5
222,27.5979,3.5,-1,id 222 27.5979 4f3.(4G*).5d.(2D).(5I*).6s 6I* 3.5
223,27.6526,3.5,-1,id 223 27.6526 4f3.(4F*).5d2.(3P) 6F* 3.5
224,27.6527,7.5,-1,id 224 27.6527 4f4.(5I).6p 4K* 7.5
225,27.6794,3.5,-1,id 225 27.6794 4f3.(4G*).5d.(2D).(5I*).6s 6I* 3.5
226,27.7258,5.5,-1,id 226 27.7258 4f3.(2H2*).5d.(2D).(1I*).6s 2I* 5.5
227,27.7258,6.5,-1,id 227 27.7258 4f3.(4F*).5d.(2D).(5G*).6s 6G* 6.5
228,27.758,5.5,-1,id 228 27.7580 4f3.(4G*).5d2.(3F) 6K* 5.5
229,27.7688,6.5,-1,id 229 27.7688 4f4.(5I).6p 4K* 6.5
230,27.79,7.5,-1,id 230 27.7900 4f3.(4I*).5d2.(1D) 4I* 7.5
231,27.8179,3.5,-1,id 231 27.8179 4f3.(4F*).5d.(2D).(3F*).6s 2F* 3.5
232,27.9712,4.5,-1,id 232 27.9712 4f4.(5I).6p 4I* 4.5
233,27.9758,5.5,-1,id 233 27.9758 4f3.(4G*).5d2.(3F) 6K* 5.5
234,27.9916,4.5,-1,id 234 27.9916 4f3.(2H2*).5d.(2D).(3H*).6s 4H* 4.5
235,28.0066,8.5,-1,id 235 28.0066 4f3.(2H2*).5d.(2D).(3K*).6s 4K* 8.5
236,28.0134,5.5,-1,id 236 28.0134 4f4.(5I).6p 6H* 5.5
237,28.0654,6.5,-1,id 237 28.0654 4f3.(2H2*).5d2.(1D) 2K* 6.5
